"text","label"
"соперник был хорош, но нашим удача улыбнулась заслуженно","позитивный"
"игра смотрелась легко, команда в отличной форме","позитивный"
"тренерские замены сыграли ключевую роль, всё верно","позитивный"
"трибуна скандировала имена игроков весь третий период","позитивный"
"после победы выхожу со стадиона с широкой улыбкой","позитивный"
"наш защитник забил редкий гол с синей линии, красота","позитивный"
"видно как команда прогрессирует от матча к матчу","позитивный"
"победа в серии плей-офф, едем дальше","позитивный"
"такой вратарь — это подарок для всей команды","позитивный"
"игра в меньшинстве сегодня была безупречной","позитивный"
"реализовали большинство дважды, хорошая работа","позитивный"
"поразительная реакция вратаря в третьем периоде","позитивный"
"сыграли против усталости и победили, хорошая воля","позитивный"
"финт нашего нападающего не успел отследить даже я","позитивный"
"команда не сломалась после пропущенной, молодцы","позитивный"
"отличный матч по всем компонентам игры","позитивный"
"шикарная передача через всю площадку прямо на крюк","позитивный"
"вся семья болела вместе, победа на радость всем","позитивный"
"уверенная игра с первых секунд, задавили соперника","позитивный"
"финальная сирена под рёв трибун, незабываемо","позитивный"
"матч показал что команда готова к плей-офф","позитивный"
"голкипер сделал 40 сейвов, заслуженная звезда матча","позитивный"
"наш топ-снайпер снова в деле, гол и две передачи","позитивный"
"хоккей это страсть, и сегодня она была на льду","позитивный"
"такой командный дух редко встретишь, приятно смотреть","позитивный"
"первый же бросок в створ — и шайба в сетке, хорошее начало","позитивный"
"нападающие прессинговали весь матч, соперник не успевал","позитивный"
"пять очков из шести возможных на выезде, топ","позитивный"
"этот сезон у команды особенный, чувствуется сплочённость","позитивный"
"наши дожали в третьем периоде, характер есть","позитивный"
"счёт 4:1 говорит сам за себя, доминирование полное","позитивный"
"такую игру в обороне хочется ставить в пример","позитивный"
"быстрый гол разрядил атмосферу и команда пошла вперёд","позитивный"
"сезонный рекорд по голам побит в этом матче, историческое событие","позитивный"
"парни выложились полностью, такая отдача впечатляет","позитивный"
"болельщики устроили овацию после третьего периода","позитивный"
"хоккей сегодня был на высшем уровне, спасибо команде","позитивный"
"наш новый легионер вписался в коллектив идеально","позитивный"
"тройка нападения сыграла в одно касание как по нотам","позитивный"
"победа над вечным соперником особенно приятна","позитивный"
"тренер нашёл правильные слова в перерыве, сдвиг виден","позитивный"
"двойной счёт в итоге справедливо отражает преимущество","позитивный"
"наши всегда борются, поэтому я и болею за них","позитивный"
"кайф смотреть такой хоккей, спасибо за вечер","позитивный"
"этот матч войдёт в историю клуба, уверен","позитивный"
"четыре гола в третьем периоде, вот это концовка","позитивный"
"командная победа в полном смысле этого слова","позитивный"
"наш молодой вратарь дебютировал блестяще","позитивный"
"лучший матч недели без вопросов, смотреть всем","позитивный"
"наши давили, наши дожали, наши победили","позитивный"
"эмоции зашкаливают после такой концовки, отличная игра","позитивный"
"три периода борьбы и заслуженные три очка","позитивный"
"наши смотрелись целостно, чувствуется рука тренера","позитивный"
"мощная игра в углах площадки дала преимущество","позитивный"
"проходной пас сквозь всю защиту как нож сквозь масло","позитивный"
"команда прибавила по сравнению с прошлым матчем","позитивный"
"выиграли у действующего чемпиона, это дорогого стоит","позитивный"
"сегодня хоккей доставил настоящее удовольствие","позитивный"
"игра команды устроила по всем параметрам","позитивный"
"наш нападающий забил с неудобной руки, техника на уровне","позитивный"
"победная серия продолжается, команда в потоке","позитивный"
"гол в большинстве снял напряжение и открыл игру","позитивный"
"трансляция была чёткой, хоккей смотрелся с удовольствием","позитивный"
"такой матч хочется пересмотреть дважды, шикарно","позитивный"
"после долгой выездной серии команда вернулась с победой","позитивный"
"наши не позволили сопернику набрать ход, молодцы","позитивный"
"счёт 3:0 уже ко второму перерыву, уверенная игра","позитивный"
"капитан повёл за собой в решающий момент матча","позитивный"
"зрелищный хоккей и нужный результат, что ещё надо","позитивный"
"наши лучше готовы физически, это ощущалось весь матч","позитивный"
"пять минут большинства реализовали, вот это мощь","позитивный"
"шайба с рикошета, но победный гол есть победный гол","позитивный"
"болеть за эту команду это кайф, просто кайф","позитивный"
"наши не спасовали под давлением и сделали результат","позитивный"
"тренерский штаб подготовил команду идеально","позитивный"
"голы забивались красиво и своевременно, хорошо","позитивный"
"трибуны не сидели ни минуты, такой хоккей заряжает","позитивный"
"серьёзный сигнал соперникам по турнирной таблице","позитивный"
"три гола и ноль пропущенных, отличный результат","позитивный"
"наш вратарь сегодня был непробиваем, фантастика","позитивный"
"такой хоккей хочется смотреть снова и снова","позитивный"
"уверенная победа закрепила место в тройке лидеров","позитивный"
"команда заслужила эти три очка каждой минутой игры","позитивный"
"лучший матч сезона, без преувеличений","позитивный"
"красота игры и итоговый счёт совпали, редкость","позитивный"
"наши выиграли убедительно и красиво, аплодирую","позитивный"
"такая игра вдохновляет болеть дальше, спасибо команде","позитивный"
"судьи сегодня засудили нашу команду по полной программе","негативный"
"ужасная игра в защите, пропустили три глупых гола","негативный"
"столько моментов запороли, обидно до слёз","негативный"
"наш вратарь ошибся на ровном месте, потеряли победу","негативный"
"штрафные две минуты в конце матча решили всё, обидно","негативный"
"команда играла трусливо, без борьбы и характера","негативный"
"тренер не сделал нужных замен вовремя, потеряли игру","негативный"
"нападение молчало все три периода, ноль голевых моментов","негативный"
"поражение от аутсайдера, стыд и позор","негативный"
"арбитры не заметили явный гол, что это вообще было","негативный"
"команда сдалась после первого пропущенного, характера нет","негативный"
"игра в большинстве снова подвела, третий раз за матч","негативный"
"вышли на лёд как будто им всё равно, зрители заслуживают лучшего","негативный"
"пять голов пропустили за два периода, катастрофа","негативный"
"защитники разбегались как дети, стыдно смотреть","негативный"
"билеты дорогие а игра безобразная, не ходите","негативный"
"провальный матч от первой до последней минуты","негативный"
"наши снова в меньшинстве провалились, постоянная проблема","негативный"
"арбитр удалил нашего лучшего игрока за что попало","негативный"
"команда явно не готова к плей-офф после такого матча","негативный"
"вратарь пропустил бросок с центра поля, это как вообще","негативный"
"второй период потеряли полностью, нет слов","негативный"
"наши не создали ни одного нормального момента, грустно","негативный"
"тренерская ротация уничтожила ритм команды","негативный"
"снова уступили в буллитах, это уже система","негативный"
"нападение действовало разрозненно, никакой связки","негативный"
"трансляция зависала каждые пять минут, всё испортило","негативный"
"потеряли три очка из-за глупых удалений в концовке","негативный"
"слабейший матч в исполнении команды за долгое время","негативный"
"бросков по воротам почти не было, чем они занимались","негативный"
"соперник был слабее на бумаге, но на льду мы хуже","негативный"
"пять удалений за матч, дисциплины ноль","негативный"
"вышли на второй период как сонные мухи","негативный"
"снова пропустили в первые две минуты, это уже закономерность","негативный"
"разочарован игрой любимой команды, ждал большего","негативный"
"такую халтуру я ещё не видел на льду","негативный"
"результативность на нуле уже три матча подряд","негативный"
"нападающие не попадали в ворота даже с двух метров","негативный"
"ошибки в обороне стоили нам победы в важном матче","негативный"
"команда снова подвела своих болельщиков","негативный"
"судья не засчитал чистый гол, возмутительно","негативный"
"уступаем последней команде турнира, что происходит","негативный"
"третий матч без победы, что-то явно идёт не так","негативный"
"вышли разобщёнными и проиграли заслуженно, обидно","негативный"
"тренер не понимает что происходит с командой видимо","негативный"
"такую игру смотреть невозможно, ушёл после второго периода","негативный"
"опять гол на последней секунде периода пропустили","негативный"
"игра в раздевалке лучше чем на льду видимо","негативный"
"ни одного броска в третьем периоде, это как вообще","негативный"
"очередное унижение от принципиального соперника","негативный"
"пять матчей без победы, кризис налицо","негативный"
"легионеры не оправдывают вложенные в них деньги","негативный"
"после такой игры хочется сдать абонемент","негативный"
"проигрываем в каждом компоненте игры, провал","негативный"
"вышли без мотивации и получили по заслугам","негативный"
"снова провальная игра меньшинстве, два гола пропустили","негативный"
"команда играет без идеи уже несколько матчей подряд","негативный"
"пропустили четыре гола за восемь минут, это коллапс","негативный"
"болельщики освистали команду в конце матча, заслуженно","негативный"
"такую игру я не ожидал увидеть от нашей команды","негативный"
"арбитры явно не на нашей стороне сегодня были","негативный"
"нападение спало весь матч, разбудить некому было","негативный"
"поражение было закономерным после такой подготовки","негативный"
"снова начали хорошо и снова развалились в концовке","негативный"
"опять провальный третий период, это уже тенденция","негативный"
"соперник хотел победы больше, это было видно","негативный"
"ещё один упущенный матч, турнирная таблица не радует","негативный"
"игра команды разочаровала полностью, без вопросов","негативный"
"пора менять что-то в команде, так продолжаться не может","негативный"
"такой хоккей смотреть неприятно, игра ради игры","негативный"
"нулевая результативность при куче моментов, удручает","негативный"
"вратарь выглядел неуверенно с первых минут","негативный"
"потеряли победу на последней минуте, сердце разбито","негативный"
"команда не реализовала ни одно из восьми большинств","негативный"
"поражение в дерби особенно неприятное, обидно","негативный"
"ничья с аутсайдером это потеря, а не результат","негативный"
"вышли без замен ключевых игроков и поплатились","негативный"
"такого провала в начале сезона не ожидал никто","негативный"
"три матча подряд без гола, что происходит с нападением","негативный"
"это был худший матч года точно, смотреть невозможно","негативный"
"матч получился напряжённым, в итоге ничья","нейтральный"
"первый период неплохой, дальше игра выровнялась","нейтральный"
"ожидаемая ничья с примерно равным соперником","нейтральный"
"есть плюсы и минусы в игре команды сегодня","нейтральный"
"посмотрел матч, в целом средне, бывало лучше","нейтральный"
"команда сыграла на своём обычном уровне","нейтральный"
"ничего особенного, рядовой матч чемпионата","нейтральный"
"игра была так себе, но три очка взяли","нейтральный"
"результат есть, игра оставляет вопросы","нейтральный"
"команда играла без огня, но задачу выполнила","нейтральный"
"середина сезона, середина таблицы, середина игры","нейтральный"
"матч не запомнится, но и не расстроил особо","нейтральный"
"оба периода примерно равные, победил более удачливый","нейтральный"
"игра прошла без ярких эпизодов в общем","нейтральный"
"счёт 2:1 говорит о напряжённом матче, ничего лишнего","нейтральный"
"трансляцию смотрел вполглаза, ничего не зацепило","нейтральный"
"ожидал большего от этого противостояния честно","нейтральный"
"по игре можно было и выиграть и проиграть","нейтральный"
"матч прошёл по стандартному сценарию, без сюрпризов","нейтральный"
"результат устраивает, игра не очень, бывает","нейтральный"
"команда провела ровный матч без провалов и взлётов","нейтральный"
"победа в один гол, мог быть и другой исход","нейтральный"
"хоккей был смотрибельный, но не более того","нейтральный"
"игра была функциональной, без красивого хоккея","нейтральный"
"поделили очки поровну, наверное справедливо","нейтральный"
"ничья устраивает обе команды перед плей-офф","нейтральный"
"матч был рабочим, без особых эмоций","нейтральный"
"оба вратаря сыграли примерно одинаково","нейтральный"
"три периода равной борьбы, итог непредсказуем был","нейтральный"
"сложно сказать что-то однозначное про эту игру","нейтральный"
"команда прошла матч без лишних потерь, нормально","нейтральный"
"игра была закрытой и осторожной с обеих сторон","нейтральный"
"победили, но без особого впечатления от игры","нейтральный"
"матч на любителя закрытого хоккея","нейтральный"
"в целом нормально сыграли, серьёзных претензий нет","нейтральный"
"победа есть победа, как бы она ни выглядела","нейтральный"
"третий период скомпенсировал скучный второй","нейтральный"
"игра на результат, без лишних рисков, понятно","нейтральный"
"матч прошёл штатно, команда сделала своё дело","нейтральный"
"два неплохих периода и один слабый, в среднем нормально","нейтральный"
"ничья после хорошего матча, сложно оценить однозначно","нейтральный"
"игра была тактической, мало эмоций, понятная ничья","нейтральный"
"команды сыграли осторожно, ничья закономерна","нейтральный"
"не лучший и не худший матч сезона, просто матч","нейтральный"
"итог мог быть любым, игра шла ровно","нейтральный"
"результат нас устраивает, игра — вопросы есть","нейтральный"
"хоккей был нормальным, ни восторга ни разочарования","нейтральный"
"ничья в выездном матче, неплохой результат в принципе","нейтральный"
"матч был средним по качеству, счёт отражает игру","нейтральный"
"наши провели идеальный матч по всем статьям","позитивный"
"красивый гол открыл счёт и задал тон игре","позитивный"
"тренер угадал с составом, все сыграли здорово","позитивный"
"наши показали характер в концовке, горжусь","позитивный"
"зрелищный матч с нужным результатом, всё устроило","позитивный"
"победа в принципиальном дерби, незабываемо","позитивный"
"голкипер провёл безупречный матч, ни одного шанса","позитивный"
"быстрая шайба в начале матча решила всё","позитивный"
"команда доминировала на льду все три периода","позитивный"
"наши сыграли в свой лучший хоккей сегодня","позитивный"
"атака работала как часы, пять голов не случайность","позитивный"
"вышли на игру собранными и сделали результат","позитивный"
"такой хоккей смотреть — одно удовольствие","позитивный"
"наши не дали сопернику шанса во втором периоде","позитивный"
"три очка и хорошее настроение, спасибо команде","позитивный"
"снова провальные буллиты, это уже надоело","негативный"
"игра в меньшинстве позорная, каждый раз пропускаем","негативный"
"нападение не создало ни одного опасного момента","негативный"
"тренер не понимает что делать с командой","негативный"
"поражение закономерное после такой игры","негативный"
"снова проиграли дома, трибуны уходили молча","негативный"
"халтурная игра от слабейшего до сильнейшего звена","негативный"
"ошибки в обороне преследуют нас весь сезон","негативный"
"игра без желания и характера, разочарован","негативный"
"очередной провал в концовке важного матча","негативный"
"нормальный матч, итог вполне логичный","нейтральный"
"ничья честная, обе команды сыграли ровно","нейтральный"
"игра прошла без ярких моментов, счёт справедлив","нейтральный"
"всё предсказуемо в этом матче, ничего нового","нейтральный"
"результат скромный но приемлемый для выезда","нейтральный"
"по игре ничья — самый честный результат","нейтральный"
"матч прошёл как ожидалось, без сюрпризов","нейтральный"
"сыграли терпеливо, взяли одно очко на выезде","нейтральный"
"команда не блистала, но и не провалилась","нейтральный"
"игра средняя, результат нормальный, двигаемся дальше","нейтральный"
